timestamp,symbol,asset_class,source,open,high,low,close,volume
2025-05-16 00:00:00+00:00,SPY,equity,yfinance,591.25,594.5,589.280029296875,594.2000122070312,76052100
2025-05-19 00:00:00+00:00,SPY,equity,yfinance,588.0999755859375,595.5399780273438,588.0999755859375,594.8499755859375,68168500
2025-05-20 00:00:00+00:00,SPY,equity,yfinance,593.0900268554688,594.0499877929688,589.5999755859375,592.8499755859375,60614500
2025-05-21 00:00:00+00:00,SPY,equity,yfinance,588.4400024414062,592.5800170898438,581.8200073242188,582.8599853515625,95197700
2025-05-22 00:00:00+00:00,SPY,equity,yfinance,582.6599731445312,586.6199951171875,581.4099731445312,583.0900268554688,70860400
2025-05-23 00:00:00+00:00,SPY,equity,yfinance,575.97998046875,581.8099975585938,575.5999755859375,579.1099853515625,76029000
2025-05-27 00:00:00+00:00,SPY,equity,yfinance,586.0700073242188,591.3099975585938,578.4299926757812,591.1500244140625,72588500
2025-05-28 00:00:00+00:00,SPY,equity,yfinance,591.5599975585938,592.77001953125,586.989990234375,587.72998046875,68445500
2025-05-29 00:00:00+00:00,SPY,equity,yfinance,593.0599975585938,593.2000122070312,586.0700073242188,590.0499877929688,69973300
2025-05-30 00:00:00+00:00,SPY,equity,yfinance,588.9299926757812,591.1300048828125,583.239990234375,589.3900146484375,90601200
2025-06-02 00:00:00+00:00,SPY,equity,yfinance,587.760009765625,592.7899780273438,585.0599975585938,592.7100219726562,61630500
2025-06-03 00:00:00+00:00,SPY,equity,yfinance,592.3400268554688,597.0800170898438,591.8499755859375,596.0900268554688,63606200
2025-06-04 00:00:00+00:00,SPY,equity,yfinance,596.9600219726562,597.9500122070312,595.489990234375,595.9299926757812,57314200
2025-06-05 00:00:00+00:00,SPY,equity,yfinance,597.6300048828125,599.0,591.0499877929688,593.0499877929688,92278700
2025-06-06 00:00:00+00:00,SPY,equity,yfinance,598.6599731445312,600.8300170898438,596.8599853515625,599.1400146484375,66588700
2025-06-09 00:00:00+00:00,SPY,equity,yfinance,599.719970703125,601.25,598.489990234375,599.6799926757812,53016400
2025-06-10 00:00:00+00:00,SPY,equity,yfinance,600.219970703125,603.469970703125,599.0900268554688,603.0800170898438,66247000
2025-06-11 00:00:00+00:00,SPY,equity,yfinance,604.1900024414062,605.0599975585938,599.27001953125,601.3599853515625,73658200
2025-06-12 00:00:00+00:00,SPY,equity,yfinance,600.010009765625,603.75,599.52001953125,603.75,64129000
2025-06-13 00:00:00+00:00,SPY,equity,yfinance,598.5,601.8499755859375,595.47998046875,597.0,89506000
2025-06-16 00:00:00+00:00,SPY,equity,yfinance,600.4000244140625,604.4500122070312,600.219970703125,602.6799926757812,79984100
2025-06-17 00:00:00+00:00,SPY,equity,yfinance,600.2100219726562,601.75,596.760009765625,597.530029296875,82209400
2025-06-18 00:00:00+00:00,SPY,equity,yfinance,598.4400024414062,601.219970703125,596.469970703125,597.4400024414062,76605000
2025-06-20 00:00:00+00:00,SPY,equity,yfinance,598.3800048828125,599.4600219726562,592.8599853515625,594.280029296875,94051400
