timestamp,symbol,asset_class,source,open,high,low,close,volume
2025-05-16 00:00:00+00:00,QQQ,equity,yfinance,520.6599731445312,521.7000122070312,517.0999755859375,521.510009765625,48394600
2025-05-19 00:00:00+00:00,QQQ,equity,yfinance,514.239990234375,522.530029296875,514.239990234375,522.010009765625,52536200
2025-05-20 00:00:00+00:00,QQQ,equity,yfinance,519.469970703125,520.9299926757812,516.6599731445312,520.27001953125,42517600
2025-05-21 00:00:00+00:00,QQQ,equity,yfinance,516.27001953125,523.0,511.239990234375,513.0399780273438,71292800
2025-05-22 00:00:00+00:00,QQQ,equity,yfinance,513.6599731445312,517.7100219726562,512.2999877929688,514.0,55607200
2025-05-23 00:00:00+00:00,QQQ,equity,yfinance,506.17999267578125,511.8399963378906,505.5799865722656,509.239990234375,58368100
2025-05-27 00:00:00+00:00,QQQ,equity,yfinance,516.1500244140625,521.7100219726562,514.5900268554688,521.219970703125,47226300
2025-05-28 00:00:00+00:00,QQQ,equity,yfinance,522.1799926757812,523.6799926757812,518.3900146484375,518.9099731445312,46637200
2025-05-29 00:00:00+00:00,QQQ,equity,yfinance,526.3300170898438,526.47998046875,517.3200073242188,519.9299926757812,58513300
2025-05-30 00:00:00+00:00,QQQ,equity,yfinance,519.4400024414062,520.6799926757812,511.92999267578125,519.1099853515625,67662800
2025-06-02 00:00:00+00:00,QQQ,equity,yfinance,517.239990234375,523.4500122070312,515.969970703125,523.2100219726562,44762800
2025-06-03 00:00:00+00:00,QQQ,equity,yfinance,523.5599975585938,528.739990234375,522.6900024414062,527.2999877929688,44070300
2025-06-04 00:00:00+00:00,QQQ,equity,yfinance,528.010009765625,529.8400268554688,525.969970703125,528.77001953125,41359300
2025-06-05 00:00:00+00:00,QQQ,equity,yfinance,530.1799926757812,533.0499877929688,522.6599731445312,524.7899780273438,61031200
2025-06-06 00:00:00+00:00,QQQ,equity,yfinance,530.0,531.7999877929688,528.2100219726562,529.9199829101562,42467000
2025-06-09 00:00:00+00:00,QQQ,equity,yfinance,530.1400146484375,532.3499755859375,529.010009765625,530.7000122070312,33688700
2025-06-10 00:00:00+00:00,QQQ,equity,yfinance,531.1699829101562,534.9000244140625,528.8900146484375,534.2100219726562,40664800
2025-06-11 00:00:00+00:00,QQQ,equity,yfinance,535.6199951171875,536.780029296875,530.1099853515625,532.4099731445312,53701000
2025-06-12 00:00:00+00:00,QQQ,equity,yfinance,531.0900268554688,534.6400146484375,530.8400268554688,533.6599731445312,34104900
2025-06-13 00:00:00+00:00,QQQ,equity,yfinance,527.6799926757812,531.8699951171875,525.72998046875,526.9600219726562,55814400
2025-06-16 00:00:00+00:00,QQQ,equity,yfinance,530.5,535.3699951171875,530.4500122070312,534.2899780273438,37622100
2025-06-17 00:00:00+00:00,QQQ,equity,yfinance,531.7100219726562,533.3300170898438,527.9099731445312,529.0800170898438,42180900
2025-06-18 00:00:00+00:00,QQQ,equity,yfinance,530.0999755859375,532.5499877929688,527.4000244140625,528.989990234375,43983500
2025-06-20 00:00:00+00:00,QQQ,equity,yfinance,532.260009765625,533.5599975585938,524.8800048828125,526.8300170898438,61643500
2025-06-23 00:00:00+00:00,QQQ,equity,yfinance,526.8099975585938,532.1699829101562,523.6500244140625,531.6500244140625,50666100
2025-06-24 00:00:00+00:00,QQQ,equity,yfinance,536.8900146484375,540.7000122070312,536.27001953125,539.780029296875,45442000
2025-06-25 00:00:00+00:00,QQQ,equity,yfinance,542.0599975585938,543.3099975585938,539.3800048828125,541.1599731445312,44804200
2025-06-26 00:00:00+00:00,QQQ,equity,yfinance,543.3499755859375,546.6699829101562,541.52001953125,546.219970703125,43811400
2025-06-27 00:00:00+00:00,QQQ,equity,yfinance,547.260009765625,549.989990234375,544.5399780273438,548.0900268554688,57577100
2025-06-30 00:00:00+00:00,QQQ,equity,yfinance,551.260009765625,552.7999877929688,549.010009765625,551.6400146484375,45548700
2025-07-01 00:00:00+00:00,QQQ,equity,yfinance,549.72998046875,550.7100219726562,544.6599731445312,546.989990234375,56166700
